proyecto_id,fecha,autor,categoria,metodo_match,diputado_id,fuente_mandato,bloque,familia,distrito,region,presidencia,gobierno,tipo,dominio,orientacion,saliencia
HCDN182684,2016-03-01,"BIANCHI, IVANA MARIA",diputado,exacto_vigente,HCDN0964,hcdn,COMPROMISO FEDERAL,peronismo_federal,SAN LUIS,CUYO,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN184192,2016-04-05,"SORIA, MARIA EMILIA",diputado,exacto_vigente,HCDN1390,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,RIO NEGRO,PATAGONIA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN185957,2016-04-11,"GIMENEZ, SANDRA DANIELA",senado,,,,,,,,macri_2015_2019,,LEY,C,administrativa_neutra,relacionada
HCDN185787,2016-05-11,"CARMONA, GUILLERMO RAMON",diputado,exacto_vigente,HCDN1247,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,MENDOZA,CUYO,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN185973,2016-05-17,"CARRIO, ELISA MARIA AVELINA",diputado,exacto_vigente,HCDN0079,hcdn,COALICION CIVICA,cc_ari,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,LEY,C,administrativa_neutra,relacionada
HCDN187373,2016-06-24,"COUSINET, GRACIELA",diputado,exacto_vigente,HCDN1580,hcdn,LIBRES DEL SUR,izquierda_progresista,MENDOZA,CUYO,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN188099,2016-07-15,"DE MENDIGUREN, JOSE IGNACIO",diputado,exacto_vigente,HCDN0668,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,DECLARACION,A,administrativa_neutra,explicita
HCDN188341,2016-07-21,"DI STEFANO, DANIEL",diputado,exacto_vigente,HCDN1481,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,MISIONES,NEA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN189288,2016-08-11,"FRANCO, JORGE DANIEL",diputado,exacto_vigente,HCDN1480,hcdn,FRENTE DE LA CONCORDIA MISIONERO,provinciales,MISIONES,NEA,macri_2015_2019,no,DECLARACION,D,administrativa_neutra,relacionada
HCDN189318,2016-08-12,"FERREYRA, ARACELI",diputado,exacto_vigente,HCDN1260,hcdn,PERONISMO PARA LA VICTORIA,kirchnerismo,CORRIENTES,NEA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN189657,2016-08-24,"LAGORIA, ELIA NELLY",diputado,exacto_vigente,HCDN1358,hcdn,TRABAJO Y DIGNIDAD,provinciales,CHUBUT,PATAGONIA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN190036,2016-08-30,"LUSQUIÑOS, LUIS BERNARDO",diputado,exacto_vigente,HCDN0513,hcdn,COMPROMISO FEDERAL,peronismo_federal,SAN LUIS,CUYO,macri_2015_2019,no,LEY,C,administrativa_neutra,relacionada
HCDN191324,2016-10-03,"DONDA PEREZ, VICTORIA ANALIA",diputado,exacto_vigente,HCDN1073,hcdn,LIBRES DEL SUR,izquierda_progresista,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN193174,2016-10-06,"MACRI, MAURICIO",ejecutivo,,,,,,,,macri_2015_2019,,MENSAJE Y PROYECTO DE LEY,C,pro_liberalizacion,relacionada
HCDN191846,2016-10-19,"HELLER, CARLOS",diputado,exacto_vigente,HCDN1180,hcdn,SOLIDARIO SI,kirchnerismo,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,no,RESOLUCION,C,administrativa_neutra,relacionada
HCDN191903,2016-10-20,"PRETTO, PEDRO JAVIER",diputado,exacto_vigente,HCDN1509,hcdn,UNION PRO,pro,CORDOBA,PAMPEANA,macri_2015_2019,si,DECLARACION,C,pro_liberalizacion,relacionada
HCDN191957,2016-10-21,"RUBIN, CARLOS GUSTAVO",diputado,exacto_vigente,HCDN1370,hcdn,JUSTICIALISTA,peronismo_federal,CORRIENTES,NEA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN192256,2016-10-28,"PEDRINI, JUAN MANUEL",diputado,exacto_vigente,HCDN1356,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,CHACO,NEA,macri_2015_2019,no,LEY,C,administrativa_neutra,relacionada
HCDN193748,2016-11-09,"MACRI, MAURICIO",ejecutivo,,,,,,,,macri_2015_2019,,MENSAJE Y PROYECTO DE LEY,C,administrativa_neutra,relacionada
HCDN194197,2016-12-20,"VILLALONGA, JUAN CARLOS",diputado,exacto_vigente,HCDN1467,hcdn,UNION PRO,pro,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,RESOLUCION,D,administrativa_neutra,relacionada
HCDN194585,2017-02-01,"HUCZAK, STELLA MARIS",diputado,exacto_vigente,HCDN1573,hcdn,UNION PRO,pro,MENDOZA,CUYO,macri_2015_2019,si,DECLARACION,C,administrativa_neutra,relacionada
HCDN194819,2017-02-06,"MACRI, MAURICIO",ejecutivo,,,,,,,,macri_2015_2019,,MENSAJE Y PROYECTO DE LEY,C,pro_liberalizacion,relacionada
HCDN194743,2017-02-15,"BANFI, KARINA",diputado,exacto_vigente,HCDN1447,hcdn,UCR,ucr,BUENOS AIRES,PAMPEANA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
