proyecto_id,anio,tipo,dominio,marco,titulo
HCDN101557,2008,LEY,C,externo,PROHIBICION TEMPORARIA Y PARCIAL DE IMPORTACION DE BIENES Y SERVICIOS CUYO ABASTECIMIENTO DEL MERCADO INTERNO ESTE ASEGURADO POR EMPRESAS NACIONALES EXCEPTUANDO LOS BIENES PROVENIENTES DE PAISES DEL MERCOSUR.
HCDN096506,2008,DECLARACION,C,externo,"EXPRESAR ADHESION A LA DECLARACION DE LA COMISION DE ASUNTOS POLITICOS, MUNICIPALES Y DE INTEGRACION DEL PARLAMENTO LATINOAMERICANO REFERIDA A LA PARTICIPACION DE ARGENTINA, URUGUAY Y EL MERCOSUR EN LA SOLUCION DE CONTROVERSIAS AMBIENTALES EXISTENTES EN LOS PAISES DEL BLOQUE."
HCDN095433,2008,RESOLUCION,C,externo,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA ESTABLECER UNA SEDE O CAPITAL ALTERNA DEL MERCOSUR EN LA PROVINCIA DE MENDOZA.
HCDN100321,2008,RESOLUCION,C,externo,SOLICITAR AL PODER EJECUTIVO NACIONAL DISPONGA LAS MEDIDAS NECESARIAS PARA QUE LOS PASOS FRONTERIZOS ACTUEN EN FORMA INTEGRADA CON LOS DE OTROS PAISES DEL MERCOSUR Y ASOCIADOS.
HCDN098025,2008,LEY,C,externo,"LENGUA GUARANI, INCORPORACION AL MERCOSUR COMO LENGUA OFICIAL."
HCDN096121,2008,DECLARACION,C,externo,"DECLARAR DE INTERES PARLAMENTARIO LA ""CUMBRE DE JEFES DE ESTADOS DEL MERCOSUR"", A REALIZARSE LOS DIAS 30 DE JUNIO Y 1 DE JULIO DE 2008 EN LA CIUDAD CAPITAL DE LA PROVINCIA DE TUCUMAN."
HCDN096880,2008,RESOLUCION,B,ue_otro,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL ENVIO DE CORTES CARNICOS A LA UNION EUROPEA.
HCDN098070,2008,DECLARACION,C,externo,"EXPRESAR BENEPLACITO POR LA REUNION DEL ""BLOQUE ARGENTINO"" DE LA ""UNION DE PARLAMENTARIOS DEL MERCOSUR"", LOS DIAS 29 Y 30 DE AGOSTO DE 2008 EN LA CIUDAD CAPITAL DE LA PROVINCIA DE MENDOZA."
HCDN103082,2009,RESOLUCION,C,externo,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA QUE LOS PASOS FRONTERIZOS ACTUEN EN FORMA INTEGRADA CON LOS PAISES MIEMBROS DEL MERCOSUR Y SUS ASOCIADOS.
HCDN103693,2009,LEY,C,externo,PRIORIZAR EN LA AGENDA DE LA REPUBLICA ARGENTINA PARA LA PROXIMA REUNION CUMBRE DEL MERCOSUR LA FIRMA DEL PACTO POR LA INFANCIA Y ADOLESCENCIA EN EL MERCOSUR.
