proyecto_id,titulo,publicacion_fecha,tipo,autor
HCDN092434,"DECLARAR DE INTERES CIENTIFICO EL DESARROLLO CONJUNTO DE LA UBA Y LA UNIVERSIDAD DE OXFORD, REFERIDO A TECNICAS DE NANOTECNOLOGIA PARA LOGRAR UN ALUMINIO DURO COMO EL ACERO.",2008-03-04T00:00:00,DECLARACION,"CAMAÑO, DANTE ALBERTO"
HCDN092511,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA DISMINUCION EN LA PRODUCCION DE CARNE EN EL PERIODO 2006 - 2007.,2008-03-05T00:00:00,RESOLUCION,"BIANCHI, IVANA MARIA"
HCDN092667,"EXPRESAR RECHAZO POR LAS AMENAZAS E INTIMIDACIONES DEL SECRETARIO DE COMERCIO INTERIOR A LA ""CAMARA DE INDUSTRIA Y COMERCIO DE CARNES DE LA REPUBLICA ARGENTINA - CICCRA -"".",2008-03-10T00:00:00,RESOLUCION,"GARCIA HAMILTON, JOSE IGNACIO"
HCDN092867,"PROGRAMA DE NORMALIZACION DEL COMERCIO DE CARNE BOVINA: OBJETIVO, CORTES, ENVASADO, PLAN GANADERO NACIONAL, SANCIONES.",2008-03-13T00:00:00,LEY,"MORINI, PEDRO JUAN"
HCDN092979,"MARCO LEGAL PARA LA PRODUCCION, EL PROCESAMIENTO Y LA COMERCIALIZACION DE CARNES VACUNAS (REPRODUCCION DEL EXPEDIENTE 2031-D-06).",2008-03-17T00:00:00,LEY,"PINEDO, FEDERICO"
HCDN093102,"CUOTA HILTON, CRITERIOS PARA LA ASIGNACION DE CUPOS DE EXPORTACION DE CORTES ENFRIADOS DE CARNE BOVINA: OBJETO, AUTORIDAD DE APLICACION, CUPO MAXIMO, PLAZOS SANCIONES.",2008-03-27T00:00:00,LEY,"CANTERO GUTIERREZ, ALBERTO"
HCDN093195,"CREACION DEL PROGRAMA FEDERAL DE PROMOCION DE LA GANADERIA BOVINA: CREACION DEL CONSEJO FEDERAL DE LA GANADERIA BOVINA, BENEFICIARIOS, INCENTIVOS FISCALES, RETENCIONES A LAS EXPORTACIONES DE CARNE VACUNA: MAXIMO DEL 5 %, CREACION DEL FONDO FEDERAL DE DESARROLLO DE LA GANADERIA BOVINA, CADUCIDAD DE LOS BENEFICIOS PROMOCIONALES, PLAZOS DE PRESENTACION DE PROYECTOS DE INVERSION.",2008-03-31T00:00:00,LEY,"LUSQUIÑOS, LUIS BERNARDO"
HCDN093429,"IMPUESTO AL VALOR AGREGADO (IVA), 23349: MODIFICACION DEL ARTICULO 28, SOBRE REDUCCION DE LA ALICUOTA A PRODUCTOS FITOSANITARIOS Y SEMILLAS AL 10,5 %.",2008-04-08T00:00:00,LEY,"FERRO, FRANCISCO JOSE"
HCDN093479,CREACION DEL CARGO DE ENLACE PARLAMENTARIO EN EL AMBITO DEL CONGRESO DE LA NACION EN LAS AREAS MERCOSUR Y RELACIONES EXTERIORES Y CULTO (REPRODUCCION DEL EXPEDIENTE 6923-D-06).,2008-04-09T00:00:00,LEY,"SOLANAS, RAUL PATRICIO"
HCDN093772,"DECLARAR DE INTERES DE LA H CAMARA EL ""V ENCUENTRO DE LENGUAS DEL MERCOSUR Y PRIMER ENCUENTRO INTERNACIONAL DE REGIONES ITALIANAS"", A REALIZARSE DEL 10 AL 13 DE SEPTIEMBRE DE 2008 EN LA PROVINCIA DEL CHACO.",2008-04-15T00:00:00,RESOLUCION,"DAMILANO GRIVARELLO, VIVIANA MONICA"
HCDN094656,"APROBACION DEL PROTOCOLO SOBRE TRASLADO DE PERSONAS SUJETAS A REGIMENES ESPECIALES (COMPLEMENTARIO AL ACUERDO SOBRE TRASLADO DE PERSONAS CONDENADAS, ENTRE LOS ESTADOS PARTES DEL MERCOSUR Y LA REPUBLICA DE BOLIVIA Y LA REPUBLICA DE CHILE), SUSCRIPTO EN ASUNCION, REPUBLICA DEL PARAGUAY, EL 20 DE JUNIO DE 2005.",2008-04-15T00:00:00,MENSAJE Y PROYECTO DE LEY,"FERNANDEZ DE KIRCHNER, CRISTINA"
