orden,proyecto_id,titulo,publicacion_fecha,tipo,autor,relevante_manual,dominio_manual,tema_manual,orientacion_manual,saliencia_manual,notas
11,HCDN282348,EXPRESAR RECHAZO POR LA RESOLUCION DE LA SECRETARIA DE CULTURA DE LA NACION MEDIANTE LA CUAL SE MODIFICA EL REGLAMENTO GENERAL DEL SALON NACIONAL DE LAS ARTES VISUALES Y. OTRAS CUESTIONES CONEXAS.,2025-03-07T00:00:00,RESOLUCION,"GINOCCHIO, SILVANA MICAELA",,,,,,
12,HCDN142034,PEDIDO DE INFORMES AL PODER EJECUTIVO NACIONAL SOBRE LAS MEDIDAS NECESARIAS PARA MITIGAR LA FUGA DE DEPOSITOS EN DOLARES QUE VIENEN SUFRIENDO LAS ENTIDADES BANCARIAS ARGENTINAS.,2012-09-20T00:00:00,RESOLUCION,"ATANASOF, ALFREDO NESTOR",,,,,,
13,HCDN163486,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA QUE SE ABSTENGA DE DAR COMIENZO DE EJECUCION AL ""MEMORANDUM DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA ARGENTINA Y LA REPUBLICA DE IRAN, SOBRE LOS TEMAS VINCULADOS AL ATAQUE TERRORISTA A LA SEDE DE LA AMIA, EN BUENOS AIRES, EL DIA 18 DE JULIO DE 1994"", Y OTRAS CUESTIONES CONEXAS.",2014-05-20T00:00:00,RESOLUCION,"NEGRI, MARIO RAUL",,,,,,
14,HCDN249454,SOLICITAR AL PODER EJECUTIVO DISPONGA LOS MEDIOS NECESARIOS PARA LA ACTUALIZACION DE LOS ARANCELES DEL NOMENCLADOR DE PRESTACIONES BASICAS PARA PERSONAS CON DISCAPACIDAD.,2021-04-09T00:00:00,RESOLUCION,"ZAMARBIDE, FEDERICO RAUL",,,,,,
15,HCDN164307,PEDIDO DE INFORMES AL PODER EJECUTIVO NACIONAL SOBRE DIVERSAS CUESTIONES RELACIONADAS CON UN NUEVO INCUMPLIMIENTO DE LA CUOTA HILTON.,2014-06-09T00:00:00,RESOLUCION,"MARTINEZ, JULIO CESAR",,,,,,
16,HCDN272141,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA HABILITAR LA COMERCIALIZACION DE CORTES DE CARNE BOVINA CON HUESO AL SUR DEL RÍO COLORADO.,2023-12-07T00:00:00,DECLARACION,"PEREZ ARAUJO, HERNAN",,,,,,
17,HCDN115461,"EXPRESAR PREOCUPACION POR LA DECLARACIONES DE JOSE SERRA, CANDIDATO PRESIDENCIAL DEL PARTIDO SOCIAL DEMOCRATA DE BRASIL (PSDB) SOBRE LA CONTINUIDAD DEL MERCOSUR.",2010-05-05T00:00:00,DECLARACION,"SABBATELLA, MARTIN",,,,,,
18,HCDN129732,PEDIDO DE INFORMES AL PODER EJECUTIVO NACIONAL SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA DISTRIBUCION DE LA CUOTA HILTON 2011-2012.,2011-07-28T00:00:00,RESOLUCION,"GRIBAUDO, CHRISTIAN ALEJANDRO",,,,,,
19,HCDN113390,"APROBAR LA CONSTRUCCION DE UN TERCER CARRIL, EN AMBOS SENTIDOS DE CIRCULACION, EN LA RUTA NACIONAL 9 QUE UNE LAS PROVINCIAS DE SANTA FE CON BUENOS AIRES.",2010-03-16T00:00:00,LEY,"COMI, CARLOS MARCELO",,,,,,
20,HCDN119747,"SOLICITAR AL PODER EJECUTIVO DISPONGA GESTIONAR ANTE EL ""PARLAMENTO DEL MERCOSUR - PARLASUR -"", LA ADHESION AL PEDIDO DE LA JUSTICIA ARGENTINA PARA PROCEDER A LA EXTRADICION DE FUNCIONARIOS IRANIES IMPLICADOS Y ACUSADOS EN LA CAUSA POR EL ATENTADO A LA ""ASOCIACION MUTUAL ISRAELITA ARGENTINA - AMIA -.""",2010-09-10T00:00:00,DECLARACION,"BULLRICH, PATRICIA",,,,,,
21,HCDN192422,"IMPUESTO A LAS GANANCIAS - LEY 20628 -. MODIFICACION DEL ARTICULO 104, SOBRE DESTINAR EL 10% DE LO PRODUCIDO POR EL GRAVAMEN A LA PROVINCIA DE BUENOS AIRES.",2016-11-02T00:00:00,LEY,"BUIL, SERGIO OMAR",,,,,,
22,HCDN259351,CREASE EL PLAN DE ACTUACION ESCOLAR PARA LA ATENCION DE LA PROBLEMATICA DEL ALUMNO CON DIAGNOSTICO DE DIABETES.,2022-06-07T00:00:00,LEY,"VIDAL, MARIA EUGENIA",,,,,,
23,HCDN168478,"EXPRESAR BENEPLACITO POR EL ""PRIMER TALLER DE ABEJAS NATIVAS SIN AGUIJON - ANSA -"", QUE SE REALIZARA LOS DIAS 21 Y 22 DE OCTUBRE DE 2014 EN COLONIA BENITEZ, PROVINCIA DEL CHACO.",2014-10-14T00:00:00,RESOLUCION,"MARTINEZ, JULIO CESAR",,,,,,
24,HCDN125475,"APROBACION DEL CONVENIO ENTRE LA REPUBLICA ARGENTINA Y LA REPUBLICA DE ECUADOR PARA EL CUMPLIMIENTO DE CONDENAS PENALES, SUSCRIPTO EN BUENOS AIRES, EL 20 DE SEPTIEMBRE DE 2007, Y EL ACUERDO POR CANJE DE NOTAS POR EL QUE SE ENMIENDA EL ARTICULO 10 DEL MISMO, DEL 18 DE ENERO DE 2010.",2011-03-03T00:00:00,MENSAJE Y PROYECTO DE LEY,"FERNANDEZ DE KIRCHNER, CRISTINA",,,,,,
25,HCDN150092,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LOS ANTECEDENTES TECNICOS DE LA LICITACION PUBLICA N 36/12 LLEVADA A CABO POR EL MINISTERIO DE SALUD, PARA LA ADQUISICION DE EQUIPOS DE RAYOS X FIJOS.",2013-04-08T00:00:00,RESOLUCION,"GARRIDO, MANUEL",,,,,,
26,HCDN159802,"PEDIDO DE INFORMES AL PODER EJECUTIVO NACIONAL SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA POSICION DE ARGENTINA EN LA NEGOCIACION QUE ESTAN LLEVANDO A CABO LOS MIEMBROS DEL MERCOSUR: BRASIL, PARAGUAY Y URUGUAY, PARA LA CONCRECION DE UN TRATADO DE LIBRE COMERCIO CON LA UNION EUROPEA.",2014-03-07T00:00:00,RESOLUCION,"ASSEFF, ALBERTO",,,,,,
27,HCDN139309,"EXPRESAR APOYO EN SU RECLAMO POR DESPIDOS, CON LOS TRABAJADORES DE LA EMPRESA LATIN BIOCOMBUSTIBLES DE LA CIUDAD DE ARROYO SECO, PROVINCIA DE SANTA FE.",2012-07-10T00:00:00,RESOLUCION,"PERALTA, FABIAN FRANCISCO",,,,,,
28,HCDN153653,TARJETAS DE CREDITO (LEY 25065) MODIFICACION DE LOS ARTICULOS 15 Y 16 SOBRE ARANCELES DIFERENCIADOS EN CONCEPTO DE COMISIONES Y OTROS CARGOS Y DE INTERES COMPENSATORIO O FINANCIERO.,2013-07-02T00:00:00,LEY,"MILMAN, GERARDO",,,,,,
29,HCDN135856,REGIMEN DISTRIBUTIVO PARA EL CUPO TARIFARIO DE CORTES ENFRIADOS VACUNOS SIN HUESO DE ALTA CALIDAD ASIGNADOS ANUALMENTE POR LA UNION EUROPEA.,2012-04-19T00:00:00,LEY,"ALONSO, GUMERSINDO FEDERICO",,,,,,
30,HCDN176187,"DECLARAR DE INTERES DE LA H. CAMARA EL ""XII CONGRESO NACIONAL DE CIENCIA POLITICA"", A REALIZARSE DEL 12 AL 15 DE AGOSTO DE 2015, EN LA CIUDAD CAPITAL DE LA PROVINCIA DE MENDOZA.",2015-06-10T00:00:00,RESOLUCION,"ASSEFF, ALBERTO",,,,,,
31,HCDN191159,"EXPRESAR BENEPLACITO POR EL FALLO DE LA ""CORTE GENERAL DE JUSTICIA DE LA UNION EUROPEA - UE -"" ANULANDO LA APLICACION DE LOS DERECHOS SOBRE EL BIODIESEL DE SOJA ARGENTINO.",2016-09-27T00:00:00,RESOLUCION,"NAZARIO, ADRIANA MONICA",,,,,,
32,HCDN137942,"EXPRESAR PREOCUPACION POR EL INCUMPLIMIENTO DE LA ""CUOTA HILTON"" DE CARNES DESTINADAS A LA UNION EUROPEA.",2012-06-07T00:00:00,RESOLUCION,"BIANCHI, IVANA MARIA",,,,,,
33,HCDN113854,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LOS MOTIVOS POR LOS CUALES SE INCUMPLIRA CON EL ENVIO DE LA TOTALIDAD DE LA CUOTA HILTON ASIGNADA PARA EL PERIODO 2009-2010.,2010-03-25T00:00:00,RESOLUCION,"GRIBAUDO, CHRISTIAN ALEJANDRO",,,,,,
34,HCDN138539,"DECLARAR DE INTERES DE LA H. CAMARA LA ""XVIII EXPO-RURAL DEL MERCOSUR"", A REALIZARSE DEL 30 DE AGOSTO AL 3 DE SEPTIEMBRE DE 2012 EN GOBERNADOR VIRASORO, PROVINCIA DE CORRIENTES.",2012-06-22T00:00:00,RESOLUCION,"ASPIAZU, LUCIO BERNARDO",,,,,,
35,HCDN249071,COMISION BICAMERAL ESPECIAL PARA EL SEGUIMIENTO Y RATIFICACION DEL ACUERDO DE ASOCIACION ESTRATEGICA MERCOSUR - UNION EUROPEA. CREACION EN EL AMBITO DEL H. CONGRESO DE LA NACION.,2021-03-26T00:00:00,LEY,"LEHMANN, MARIA LUCILA",,,,,,
36,HCDN282629,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA SITUACION DE LAS POLITICAS DE GENERO VIGENTES Y OTRAS CUESTIONES CONEXAS.,2025-03-14T00:00:00,RESOLUCION,"PAULON, ESTEBAN",,,,,,
37,HCDN204995,"EXPRESAR PREOCUPACION POR LA DECISION DEL GOBIERNO ARGENTINO DE AMPLIAR LAS POSIBILIDADES DE INTERCAMBIO DE TODA LA CARNE PORCINA FRESCA, REFRIGERADA Y CONGELADA Y SUS DERIVADOS, PROVENIENTES DE LOS ESTADOS UNIDOS DE AMERICA.",2017-08-31T00:00:00,DECLARACION,"DE MENDIGUREN, JOSE IGNACIO",,,,,,
38,HCDN138999,"EXPRESAR PREOCUPACION POR LAS DECLARACIONES DE LA ""UNION EUROPEA"", MANIFESTANDOSE SOBRE LAS POLITICAS COMERCIALES ARGENTINAS.",2012-07-02T00:00:00,DECLARACION,"ATANASOF, ALFREDO NESTOR",,,,,,
39,HCDN140332,SISTEMA BRAILLE: SE ESTABLECE QUE LAS ENTIDADES BANCARIAS PUBLICAS Y PRIVADAS DEBEN CONTAR EN SUS SUCURSALES CON FORMULARIOS DE DICHAS CARACTERISTICAS.,2012-08-08T00:00:00,LEY,"MAJDALANI, SILVIA CRISTINA",,,,,,
40,HCDN113704,EXPRESAR RECHAZO Y REPUDIO POR LAS MANIOBRAS QUE IMPIDEN LA EXPORTACION DE CARNE VACUNA.,2010-03-19T00:00:00,DECLARACION,"CASAÑAS, JUAN FRANCISCO",,,,,,
41,HCDN132016,PREMIO NACIONAL A LA LABOR DESTACADA EN ARBITRAJE FUTBOLISTICO EN TORNEOS NACIONALES DE PRIMERA DIVISION: CREACION.,2011-11-03T00:00:00,LEY,"MARTINEZ, SOLEDAD",,,,,,
42,HCDN240112,"IMPUESTO A LAS GANANCIAS. MODIFICACION DEL ARTICULO 27, SOBRE LAS REMUNERACIONES PERCIBIDAS EN CONCEPTO DE GUARDIAS OBLIGATORIAS POR PARTE DE PROFESIONALES, TECNICOS, AUXILIARES Y PERSONAL OPERATIVO DEL SISTEMA DE SALUD EN EL MARCO DE LA PANDEMIA DEL COVID 19.",2020-05-06T00:00:00,LEY,"GINOCCHIO, SILVANA MICAELA",,,,,,
43,HCDN248945,"EXPRESAR BENEPLACITO POR EL 30 ANIVERSARIO DE LA FIRMA DEL TRATADO DE ASUNCION, SUSCRIPTO EL 26 DE MARZO DE 1991 ENTRE LAS REPUBLICAS DE ARGENTINA, FEDERATIVA DEL BRASIL, PARAGUAY Y ORIENTAL DE URUGUAY, QUE CONSTITUYO EL MERCADO COMUN DEL SUR - MERCOSUR -.",2021-03-23T00:00:00,DECLARACION,"FERNANDEZ LANGAN, EZEQUIEL",,,,,,
44,HCDN153809,"DECLARAR DE INTERES DE LA H. CAMARA EL FESTIVAL ""37 ANIVERSARIO DE LOS BOMBEROS VOLUNTARIOS DE SALADAS"", REALIZADO EL DIA 8 DE JUNIO DE 2013 EN LA PROVINCIA DE CORRIENTES.",2013-07-10T00:00:00,RESOLUCION,"CHIENO, MARIA ELENA PETRONA",,,,,,
45,HCDN209202,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA EXPORTACION DE BIODIESEL.,2017-12-14T00:00:00,RESOLUCION,"FRANA, SILVINA PATRICIA",,,,,,
46,HCDN240730,"EXPRESAR ADHESION A LA ""DECLARACION ESPECIAL DE LOS ESTADOS PARTES Y ESTADOS ASOCIADOS DEL MERCOSUR SOBRE LA PESCA ILEGAL, NO DECLARADA Y NO REGLAMENTADA"", EMITIDA POR LOS PRESIDENTES DE LOS ESTADOS PARTES Y ESTADOS ASOCIADOS DEL MERCOSUR, EN MENDOZA, EL 21 DE JULIO DE 2017. SOLICITAR AL PODER EJECUTIVO IMPULSE UNA NEGOCIACION EN EL AMBITO DEL CONSEJO DEL MERCADO COMUN DEL SUR (CMC) Y DE OTROS ORGANOS DEL MERCOSUR COMPETENTES EN LA MATERIA, SOBRE LA BASE DE LINEAMIENTOS CON EL FIN DE ELABORAR UNA POLITICA REGIONAL PESQUERA CONSENSUADA.",2020-05-20T00:00:00,DECLARACION,"ZUVIC, MARIANA",,,,,,
47,HCDN126742,"DECLARAR DE INTERES DE LA H. CAMARA EL ""XXXVII CONGRESO DE LA ASOCIACION ARGENTINA DE AGENCIAS DE VIAJES Y TURISMO"", A REALIZARSE DEL 2 AL 4 DE JUNIO DE 2011 EN ROSARIO, PROVINCIA DE SANTA FE.",2011-04-19T00:00:00,RESOLUCION,"PANSA, SERGIO HORACIO",,,,,,
48,HCDN247131,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA COMUNICACION DE LA SUBSECRETARIA DE MERCADOS AGROPECUARIOS RELACIONADA CON LA SUSPENSION TEMPORARIA DE LA REGISTRACION DE DECLARACIONES JURADAS DE VENTA AL EXTERIOR DE MAIZ, CON FECHA DE EMBARQUE ANTERIOR AL 1° DE MARZO 2021.-",2021-01-04T00:00:00,RESOLUCION,"FREGONESE, ALICIA",,,,,,
49,HCDN096506,"EXPRESAR ADHESION A LA DECLARACION DE LA COMISION DE ASUNTOS POLITICOS, MUNICIPALES Y DE INTEGRACION DEL PARLAMENTO LATINOAMERICANO REFERIDA A LA PARTICIPACION DE ARGENTINA, URUGUAY Y EL MERCOSUR EN LA SOLUCION DE CONTROVERSIAS AMBIENTALES EXISTENTES EN LOS PAISES DEL BLOQUE.",2008-06-23T00:00:00,DECLARACION,"IGLESIAS, FERNANDO ADOLFO",,,,,,
50,HCDN095278,"DECLARAR DE INTERES EL SEMINARIO - TALLER ""LOS DESAFIOS DE LA INTEGRACION REGIONAL EN MERCOSUR: LA MIRADA LOCAL"", REALIZADO LOS DIAS 8 Y 9 DE MAYO DE 2008 EN TANDIL, PROVINCIA DE BUENOS AIRES.",2008-05-19T00:00:00,RESOLUCION,"GALANTINI, EDUARDO LEONEL",,,,,,
51,HCDN256577,ALICUOTA DIFERENCIADA DEL ARANCEL EXTERNO COMUN PARA CABLES DE ACERO GALVANIZADOS EN EL MARCO DE LA EMERGENCIA AGRO-ECOLOGICA EN LAS PROVINCIAS DE CORRIENTES Y MISIONES.,2022-03-17T00:00:00,LEY,"FERNANDEZ, CARLOS ALBERTO",,,,,,
52,HCDN155723,"DECLARAR DE INTERES DE LA H. CAMARA EL ""CONGRESO INTERNACIONAL DE PERIODISTAS AGROPECUARIOS"", A REALIZARSE DEL 1 AL 5 DE SEPTIEMBRE DE 2013, EN LA PROVINCIA DE BUENOS AIRES Y ROSARIO, PROVINCIA DE SANTA FE.-",2013-08-29T00:00:00,RESOLUCION,"SCHMIDT LIERMANN, CORNELIA",,,,,,
53,HCDN282486,"DECLARAR DE INTERES DE LA H. CAMARA EL PROGRAMA ""INCLUSION EN EL AIRE"", QUE SE EMITE POR LA RADIO DE LA BIBLIOTECA DEL CONGRESO DE LA NACION, POR SU DESTACADA CONTRIBUCION A LA PROMOCION DE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD.",2025-03-11T00:00:00,DECLARACION,"ARROYO, DANIEL",,,,,,
54,HCDN183148,SOLICITAR AL PODER EJECUTIVO REALIZAR LOS ACTOS DE EJECUCION PRESUPUESTARIA Y ADMINISTRATIVOS DISPUESTOS POR EL ARTICULO 16 DE LA LEY 27120 - ELECCION DE PARLAMENTARIOS DEL MERCOSUR -.,2016-03-08T00:00:00,RESOLUCION,"CARMONA, GUILLERMO RAMON",,,,,,
55,HCDN095433,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA ESTABLECER UNA SEDE O CAPITAL ALTERNA DEL MERCOSUR EN LA PROVINCIA DE MENDOZA.,2008-05-22T00:00:00,RESOLUCION,"GENEM, AMANDA SUSANA",,,,,,
56,HCDN250690,EXPRESAR PREOCUPACION POR EL CIERRE DE LAS EXPORTACIONES DE CARNE VACUNA POR 30 DIAS.,2021-05-21T00:00:00,DECLARACION,"MAQUIEYRA, MARTIN",,,,,,
57,HCDN240504,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LOS FUNDAMENTOS DE LA DECISION DE SUSPENDER LA PARTICIPACION ARGENTINA EN LAS NEGOCIACIONES DEL MERCOSUR.,2020-05-14T00:00:00,RESOLUCION,"DE LAMADRID, ALVARO",,,,,,
58,HCDN279302,"EXPRESAR PREOCUPACION POR LA APLICACION SISTEMATICA Y ESTRICTA DE LA BAJA DEL REGISTRO DE ESTABLECIMIENTOS RURALES INSCRIPTOS COMO PROVEEDORES DE GANADO PARA FAENA DE EXPORTACION CON DESTINO A LA UNION EUROPEA POR PARTE DEL ESTADO NACIONAL, A TRAVES DEL SENASA.",2024-10-30T00:00:00,DECLARACION,"MORCHIO, FRANCISCO",,,,,,
59,HCDN241505,"DECLARAR DE INTERES DE LA H. CAMARA LAS ACTIVIDADES REALIZADAS EL 12 DE JULIO DE 2020 EN EL ""MUSEO ANA FRANK"", EN EL MARCO DEL ""DIA DE LOS ADOLESCENTES Y JOVENES POR LA INCLUSION SOCIAL Y LA CONVIVENCIA, CONTRA TODA FORMA DE VIOLENCIA Y DISCRIMINACION"".",2020-06-09T00:00:00,DECLARACION,"MORALES GORLERI, VICTORIA",,,,,,
60,HCDN116235,"CREACION EN EL AMBITO DEL CONGRESO DE LA NACION ARGENTINA, LA COMISION BICAMERAL REVISORA DE NORMATIVA AMBIENTAL PARA LA ARMONIZACION DE DIRECTRICES AMBIENTALES DEL MERCADO COMUN DEL SUR (MERCOSUR).",2010-05-11T00:00:00,LEY,"MICHETTI, MARTA GABRIELA",,,,,,
61,HCDN115412,"ADHERIR AL DIA INTERNACIONAL DEL CELIACO, A CELEBRARSE EL 5 DE MAYO DE 2010.",2010-05-05T00:00:00,RESOLUCION,"ALFARO, GERMAN ENRIQUE",,,,,,
62,HCDN118582,"DECLARAR DE INTERES DE LA H CAMARA LA DECIMA TEMPORADA DEL ""TEATRO X LA IDENTIDAD"".",2010-08-05T00:00:00,RESOLUCION,"MORANTE, ANTONIO ARNALDO MARIA",,,,,,
63,HCDN165073,EXPRESAR PREOCUPACION POR EL INCUMPLIMIENTO DE LA CUOTA HILTON.,2014-07-04T00:00:00,DECLARACION,"SCAGLIA, GISELA",,,,,,
64,HCDN128198,"PEDIDO DE INFORMES AL PODER EJECUTIVO NACIONAL SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA ""CUOTA HILTON"".",2011-06-06T00:00:00,RESOLUCION,"MARTINEZ, JULIO CESAR",,,,,,
65,HCDN184957,EXPRESAR BENEPLACITO POR EL 25° ANIVERSARIO DE LA FIRMA DEL TRATADO DE ASUNCION QUE DIO ORIGEN AL MERCADO COMUN DEL SUR - MERCOSUR -.,2016-04-22T00:00:00,RESOLUCION,"NEGRI, MARIO RAUL",,,,,,
66,HCDN103073,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL ESTADO DEL TRAMITE DE INGRESO AL MERCOSUR COMO MIEMBRO PLENO DE LA REPUBLICA BOLIVARIANA DE VENEZUELA.,2009-03-02T00:00:00,RESOLUCION,"OBIGLIO, JULIAN MARTIN",,,,,,
67,HCDN141219,"INCORPORACION AL ORDENAMIENTO JURIDICO NACIONAL DEL CODIGO ADUANERO DEL MERCOSUR, APROBADO POR EL CONSEJO DEL MERCADO COMUN, MEDIANTE LA DECISION 27/10 (CMC), DURANTE LA REUNION XXXIX, REALIZADA EL 2 DE AGOSTO DE 2010 EN LA CIUDAD DE SAN JUAN DE LA REPUBLICA ARGENTINA.",2012-08-02T00:00:00,MENSAJE Y PROYECTO DE LEY,"FERNANDEZ DE KIRCHNER, CRISTINA",,,,,,
68,HCDN148668,EXPRESAR PREOCUPACION POR LA CONFIRMACION DE QUE LA GENDARMERIA NACIONAL ESPIO A DIRIGENTES SOCIALES VIOLANDO LA LEY DE SEGURIDAD INTERIOR.,2013-03-07T00:00:00,RESOLUCION,"BIANCHI, IVANA MARIA",,,,,,
69,HCDN163318,CARGAS DE EXPORTACION ORIGINADAS EN PUERTOS ARGENTINOS: APLICABILIDAD UNICAMENTE EN EL AMBITO DE LOS PUERTOS NACIONALES Y EN LOS PAISES QUE INTEGRAN EL MERCOSUR.,2014-05-15T00:00:00,LEY,"HARISPE, GASTON",,,,,,
70,HCDN173621,CODIGO NACIONAL ELECTORAL (LEY 19945) Y FINANCIAMIENTO DE LOS PARTIDOS POLITICOS (LEY 26215). MODIFICACIONES SOBRE PUBLICIDAD DE LOS CANDIDATOS A CARGOS ELECTIVOS (REPRODUCCION DEL EXPEDIENTE 5603-D-13).,2015-03-27T00:00:00,LEY,"BIELLA CALVET, BERNARDO JOSE",,,,,,
71,HCDN211982,IMPUESTO AL VALOR AGREGADO - IVA -. SE ESTABLECE SU DEVOLUCION A LOS BENEFICIARIOS DE PLANES SOCIALES O ASISTENCIALES.,2018-03-06T00:00:00,LEY,"CARRIO, ELISA MARIA AVELINA",,,,,,
72,HCDN272142,"EXPRESAR BENEPLACITO POR LA SUSCRIPCION DEL ACUERDO ENTRE LA UNION EUROPEA (UE) Y EL MERCADO COMUN DEL SUR (MERCOSUR), QUE SE LLEVARIA A CABO EN LA 63 EDICION DE LA CUMBRE DE JEFES DE ESTADO DEL MERCOSUR, EL 7 DE DICIEMBRE DEL 2023 EN RIO DE JANEIRO, REPUBLICA FEDERATIVA DEL BRASIL.",2023-12-07T00:00:00,DECLARACION,"MARTINEZ, ALVARO",,,,,,
73,HCDN118043,INCLUSION DE LA CADENA CITRICOLA TRANSFRONTERIZA ARGENTINO - URUGUAYA EN EL MARCO DEL GRUPO DE INTEGRACION PRODUCTIVA EN EL MERCOSUR.,2010-07-08T00:00:00,LEY,"CHIENO, MARIA ELENA PETRONA",,,,,,
74,HCDN099003,EXPRESAR PREOCUPACION POR LA SITUACION DE CRISIS IMPERANTE EN LA REPUBLICA DE BOLIVIA.,2008-09-15T00:00:00,RESOLUCION,"AZCOITI, PEDRO JOSE",,,,,,
75,HCDN234151,"DECLARAR DE INTERES DE LA H. CAMARA LA ""CUMBRE DE MUJERES DEL MERCOSUR"", A REALIZARSE EL 16 DE JULIO DE 2019 EN LA CIUDAD DE VERA CRUZ, PROVINCIA DE SANTA FE.",2019-07-15T00:00:00,DECLARACION,"HUMMEL, ASTRID",,,,,,
76,HCDN240130,"EXPRESAR RECHAZO POR LA DECISION UNILATERAL ADOPTADA POR EL PODER EJECUTIVO NACIONAL DE DEJAR DE PARTICIPAR EN LAS NEGOCIACIONES DE LOS ACUERDOS COMERCIALES EN CURSO Y DE LAS FUTURAS NEGOCIACIONES DEL BLOQUE DEL MERCADO COMUN DEL SUR (MERCOSUR). CONVOCAR AL MINISTRO DE RELACIONES EXTERIORES, COMERCIO INTERNACIONAL Y CULTO, FELIPE SOLA, A LAS COMISIONES DE MERCOSUR Y DE RELACIONES EXTERIORES Y CULTO DE ESTA H. CAMARA.",2020-05-06T00:00:00,RESOLUCION,"IGLESIAS, FERNANDO ADOLFO",,,,,,
77,HCDN286008,INSTITUYASE EL 9 DE SEPTIEMBRE DE CADA AÑO COMO DIA NACIONAL DEL SINDROME DE ALFI.,2025-07-07T00:00:00,LEY,"RUIZ, YAMILA",,,,,,
78,HCDN112556,"CREACION DEL PARQUE NACIONAL DE LA MEMORIA EN LA CIUDAD CAPITAL DE LA PROVINCIA DE CORDOBA, EN EL PREDIO BAJO USO DEL TERCER CUERPO DE EJERCITO (REPRODUCCION DEL EXPEDIENTE 4289-D-08).",2010-03-04T00:00:00,LEY,"MERCHAN, PAULA CECILIA",,,,,,
79,HCDN200178,"RECORDAR Y CONDENAR EL GOLPE MILITAR OCURRIDO EL 28 DE JUNIO DE 1966, QUE DESTITUYO AL GOBIERNO CONSTITUCIONAL DEL DOCTOR ARTURO ILLIA.",2017-06-05T00:00:00,DECLARACION,"ALFONSIN, RICARDO LUIS",,,,,,
80,HCDN100321,SOLICITAR AL PODER EJECUTIVO NACIONAL DISPONGA LAS MEDIDAS NECESARIAS PARA QUE LOS PASOS FRONTERIZOS ACTUEN EN FORMA INTEGRADA CON LOS DE OTROS PAISES DEL MERCOSUR Y ASOCIADOS.,2008-10-20T00:00:00,RESOLUCION,"OBIGLIO, JULIAN MARTIN",,,,,,
81,HCDN275239,EXPRESAR SOLIDARIDAD CON EL PUEBLO DE LA REPUBLICA FEDERATIVA DEL BRASIL POR LAS INUNDACIONES DEL ESTADO DE RIO GRANDE DO SUL.,2024-05-13T00:00:00,RESOLUCION,"CHICA, JORGE",,,,,,
82,HCDN135883,"EXPRESAR BENEPLACITO POR EL MANIFIESTO INTERES DE LOS GOBIERNOS NACIONALES DEL MERCOSUR DE RATIFICAR EL ACUERDO MARCO DE COMERCIO Y COOPERACION ECONOMICA ENTRE MERCOSUR Y LA ORGANIZACION PARA LA LIBERACION DE PALESTINA, SUSCRIPTO DURANTE LA CUMBRE DE PRESIDENTES DEL MERCOSUR EN LA CIUDAD DE MONTEVIDEO, REPUBLICA ORIENTAL DEL URUGUAY, EL 20 DE DICIEMBRE DE 2011.",2012-04-19T00:00:00,RESOLUCION,"CHIENO, MARIA ELENA PETRONA",,,,,,
83,HCDN279193,EXPRESAR BENEPLACITO POR EL PROGRAMA DE CREDITOS DE CARBONO Y SU IMPLEMENTACION BAJO EL ESQUEMA REDD+ (REDUCCION DE EMISIONES DERIVADAS DE LA DEFORESTACION Y LA DEGRADACION DE LOS BOSQUES) EN LA PROVINCIA DE MISIONES.,2024-10-25T00:00:00,DECLARACION,"RUIZ, YAMILA",,,,,,
84,HCDN160768,"DECLARAR DE INTERES DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION EL ""DIA DEL MERCOSUR"", A CELEBRARSE EL DIA 26 DE MARZO DE 2014.",2014-03-26T00:00:00,RESOLUCION,"GRANADOS, DULCE",,,,,,
