orden,proyecto_id,titulo,publicacion_fecha,tipo,autor,relevante_manual,dominio_manual,tema_manual,orientacion_manual,saliencia_manual,notas
363,HCDN262503,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LAS AUTORIZACIONES DE EXPORTACION DE CARNE VACUNA OTORGADAS POR EL MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA, Y OTRAS CUESTIONES CONEXAS.",2022-08-31T00:00:00,RESOLUCION,"TORELLO, PABLO",,,,,,
364,HCDN137358,"TRANSFERIR A TITULO GRATUITO A LA PROVINCIA DEL CHACO UN INMUEBLE PROPIEDAD DEL ESTADO NACIONAL, UBICADO EN LA LOCALIDAD DE JUAN JOSE CASTELLI (REPRODUCCION DEL EXPEDIENTE 0202-S-08).",2012-03-20T00:00:00,LEY,"CORREGIDO, ELENA MERCEDES",,,,,,
365,HCDN144945,SOLICITAR AL PODER EJECUTIVO DISPONGA GARANTIZAR LA PARIDAD EN LA DESIGNACION DE LOS DIPUTADOS Y DIPUTADAS TITULARES Y SUPLENTES DE ARGENTINA EN EL PARLAMENTO DEL MERCOSUR.,2012-12-14T00:00:00,RESOLUCION,"LINARES, MARIA VIRGINIA",,,,,,
366,HCDN097309,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON EL INSTITUTO NACIONAL DE ESTADISTICAS Y CENSOS -INDEC-.,2008-07-25T00:00:00,RESOLUCION,"MORANDINI, NORMA ELENA",,,,,,
367,HCDN279051,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA ENTRADA EN VIGENCIA DE UN SISTEMA DE TRAZABILIDAD INDIVIDUAL ELECTRONICO PARA BOVINOS, BUBALINOS Y CERVIDOS QUE SE APLICARA GRADUALMENTE A PARTIR DEL 1° DE MARZO DE 2025.",2024-10-18T00:00:00,RESOLUCION,"MORCHIO, FRANCISCO",,,,,,
368,HCDN134813,"MODIFICACION DE EL ARTICULO 3576 BIS DEL TITULO IX, CAPITULO III DEL CODIGO CIVIL, SOBRE INCORPORACION AL VIUDO SIN HIJOS (REPRODUCCION DEL EXPEDIENTE 1929-D-10).",2012-03-20T00:00:00,LEY,"GONZALEZ, NANCY SUSANA",,,,,,
369,HCDN205338,"EXPRESAR BENEPLACITO POR LA SELECCION QUE EFECTUO EL PANEL ""INTERGUBERNAMENTAL SOBRE CAMBIO CLIMATICO - IPCC -"", DE TRES CIENTIFICOS ARGENTINOS QUE PARTICIPARAN EN LA ELABORACION DEL ""INFORME SOBRE CAMBIO CLIMATICO"" QUE SE PRESENTARA EN EL 2019.",2017-09-13T00:00:00,RESOLUCION,"HERRERA, LUIS BEDER",,,,,,
370,HCDN238276,PLANEAMIENTO ESTRATEGICO FEDERAL DE LOS INSTITUTOS SUPERIORES DE FORMACION DOCENTE - ISFD -. COMISION NACIONAL DE ACREDITACION Y REGISTRO DE INSTITUTOS SUPERIORES DE FORMACION DOCENTE. CREACION.,2020-03-06T00:00:00,LEY,"FERRARO, MAXIMILIANO",,,,,,
371,HCDN147990,"EXPRESAR PREOCUPACION POR LA DECISION DE LA ""ORGANIZACION MUNDIAL DEL COMERCIO - OMC -"" SOBRE UNIFICAR EN UN SOLO TRIBUNAL Y DAR CURSO A LAS DISPUTAS PRESENTADAS POR LA UNION EUROPEA, ESTADOS UNIDOS DE AMERICA Y JAPON CONTRA LAS SUPUESTAS MEDIDAS ILEGALES DE IMPORTACION QUE APLICA LA REPUBLICA ARGENTINA.",2013-02-18T00:00:00,DECLARACION,"ATANASOF, ALFREDO NESTOR",,,,,,
372,HCDN197176,"ELECCION DE PARLAMENTARIOS DEL MERCOSUR - LEY 27120 -. MODIFICACION DEL ARTICULO 16, SOBRE DESEMPEÑO DE LOS PARLAMENTARIOS EN REPRESENTACION DE LA CIUDADANIA ARGENTINA.",2017-04-07T00:00:00,LEY,"LOSPENNATO, SILVIA GABRIELA",,,,,,
